"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"ran_pars","Residual","sd__Observation",0.639306741439407,NA,NA,NA,NA,NA,NA,"lockscreen_episodes.","arousal","1000"
"fixed",NA,"(Intercept)",-0.0378680564324375,0.058309096068919,-0.649436519950147,170.231202903202,0.516931572412901,-0.152970065586173,0.0772339527212981,"lockscreen_time","arousal","1000"
"fixed",NA,"lockscreen_time_within",-0.0182284363829543,0.0108741400629543,-1.67631061191261,10565.1733074497,0.0937069539664298,-0.0395438011898429,0.00308692842393432,"lockscreen_time","arousal","1000"
"fixed",NA,"lockscreen_time_between",-0.383120525372972,0.192084133639205,-1.9945454010928,170.865171212039,0.0476826191543425,-0.762284051070015,-0.00395699967592855,"lockscreen_time","arousal","1000"
"ran_pars","ID","sd__(Intercept)",0.714478651921445,NA,NA,NA,NA,NA,NA,"lockscreen_time","arousal","1000"
"ran_pars","Residual","sd__Observation",0.639278844904756,NA,NA,NA,NA,NA,NA,"lockscreen_time","arousal","1000"
"fixed",NA,"(Intercept)",-0.0544539046316863,0.0609113772061654,-0.893985772926745,169.576389000427,0.372596543237014,-0.174696134240157,0.0657883249767845,"recording_duration","valence","1000"
"fixed",NA,"recording_duration_within",0.014445754459829,0.00584383816261519,2.47196346952982,10564.7531070506,0.0134529619683861,0.00299072977235385,0.0259007791473042,"recording_duration","valence","1000"
"fixed",NA,"recording_duration_between",-0.016875330788976,0.220205077901233,-0.0766346123795791,172.137662033709,0.939003220737237,-0.451525138827934,0.417774477249982,"recording_duration","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.78487893629992,NA,NA,NA,NA,NA,NA,"recording_duration","valence","1000"
"ran_pars","Residual","sd__Observation",0.582693985506107,NA,NA,NA,NA,NA,NA,"recording_duration","valence","1000"
"fixed",NA,"(Intercept)",-0.0509953800091947,0.0600652716029878,-0.848999407615398,169.715198965163,0.397077566432162,-0.169566656129764,0.0675758961113745,"movement_episodes","valence","1000"
"fixed",NA,"movement_episodes_within",-0.00288726236009274,0.00651069938356384,-0.443464240935711,10564.7897216441,0.657439059720472,-0.0156494607760157,0.0098749360558302,"movement_episodes","valence","1000"
"fixed",NA,"movement_episodes_between",0.284279138024693,0.156323596172132,1.81852992757194,169.518079603809,0.0707481639405528,-0.0243125417799961,0.592870817829383,"movement_episodes","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.777297712899795,NA,NA,NA,NA,NA,NA,"movement_episodes","valence","1000"
"ran_pars","Residual","sd__Observation",0.582856566914153,NA,NA,NA,NA,NA,NA,"movement_episodes","valence","1000"
"fixed",NA,"(Intercept)",-0.0654479541442832,0.0598963762618731,-1.09268637318121,169.757455781628,0.276079759300225,-0.18368561267664,0.0527897043880733,"mo_ep_sd_episode_duration","valence","1000"
"fixed",NA,"mo_ep_sd_episode_duration_within",-0.00493289412949318,0.00666279202020225,-0.740364416979572,10564.8276319425,0.459095356471101,-0.0179932227856664,0.00812743452668007,"mo_ep_sd_episode_duration","valence","1000"
"fixed",NA,"mo_ep_sd_episode_duration_between",0.294019357843824,0.126833701148963,2.31814852977053,170.791305317289,0.0216266213547854,0.043655828394788,0.54438288729286,"mo_ep_sd_episode_duration","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.772679711657726,NA,NA,NA,NA,NA,NA,"mo_ep_sd_episode_duration","valence","1000"
"ran_pars","Residual","sd__Observation",0.582846348788027,NA,NA,NA,NA,NA,NA,"mo_ep_sd_episode_duration","valence","1000"
"fixed",NA,"(Intercept)",-0.0456311589959356,0.0609551225571641,-0.748602530544375,169.554342922697,0.455133992554218,-0.165959856647575,0.0746975386557042,"mo_ep_mean_total_dist","valence","1000"
"fixed",NA,"mo_ep_mean_total_dist_within",-0.004542316234493,0.00688424989462305,-0.659812805174428,10564.7228536158,0.509388348141054,-0.0180367440966499,0.00895211162766389,"mo_ep_mean_total_dist","valence","1000"
"fixed",NA,"mo_ep_mean_total_dist_between",-0.11165138268059,0.107090082271261,-1.04259311705238,169.162281524964,0.298624477026742,-0.323056499454843,0.0997537340936632,"mo_ep_mean_total_dist","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.78232104267865,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","valence","1000"
"ran_pars","Residual","sd__Observation",0.582850890744719,NA,NA,NA,NA,NA,NA,"mo_ep_mean_total_dist","valence","1000"
"fixed",NA,"(Intercept)",-0.0598885427936111,0.0611987393013807,-0.978591119315099,169.655265202624,0.329175418351178,-0.180697636474949,0.0609205508877269,"mo_ep_sd_total_dist","valence","1000"
"fixed",NA,"mo_ep_sd_total_dist_within",-0.00699782840171161,0.00677627667884168,-1.0326952002361,10564.7805569181,0.301770199449776,-0.0202806083935943,0.00628495159017104,"mo_ep_sd_total_dist","valence","1000"
"fixed",NA,"mo_ep_sd_total_dist_between",0.083347838583187,0.126085060710321,0.661044521163993,170.136530373654,0.50947790941739,-0.165544746005471,0.332240423171845,"mo_ep_sd_total_dist","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.783900987214932,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","valence","1000"
"ran_pars","Residual","sd__Observation",0.582832677283945,NA,NA,NA,NA,NA,NA,"mo_ep_sd_total_dist","valence","1000"
"fixed",NA,"(Intercept)",-0.0300175572651351,0.0602670923092038,-0.498075419187777,169.746605142127,0.619075572828666,-0.148987077560724,0.0889519630304541,"mo_ep_sd_speed_mean","valence","1000"
"fixed",NA,"mo_ep_sd_speed_mean_within",-0.00991709379514061,0.00652564590458037,-1.51971068307273,10564.8368496966,0.128613630121824,-0.0227085902039575,0.00287440261367625,"mo_ep_sd_speed_mean","valence","1000"
"fixed",NA,"mo_ep_sd_speed_mean_between",-0.398440832147648,0.157552520971904,-2.5289397445992,169.694633576381,0.0123525665968255,-0.709456153092887,-0.0874255112024082,"mo_ep_sd_speed_mean","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.77041926624478,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","valence","1000"
"ran_pars","Residual","sd__Observation",0.582797612118263,NA,NA,NA,NA,NA,NA,"mo_ep_sd_speed_mean","valence","1000"
"fixed",NA,"(Intercept)",-0.0211050581734789,0.0588625158129506,-0.358548354279405,169.441720802142,0.72037932012001,-0.13730339244981,0.0950932761028521,"mo_ep_mean_abs_jerk_sd","valence","1000"
"fixed",NA,"mo_ep_mean_abs_jerk_sd_within",0.00221380737034708,0.00737077560645086,0.300349310377807,10564.694301101,0.76391663384521,-0.012234302628955,0.0166619173696491,"mo_ep_mean_abs_jerk_sd","valence","1000"
"fixed",NA,"mo_ep_mean_abs_jerk_sd_between",-0.361232049155304,0.095592016708428,-3.77889348497714,168.726567498514,0.000218194913140326,-0.54994249753043,-0.172521600780179,"mo_ep_mean_abs_jerk_sd","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.753344372018133,NA,NA,NA,NA,NA,NA,"mo_ep_mean_abs_jerk_sd","valence","1000"
"ran_pars","Residual","sd__Observation",0.582860952689194,NA,NA,NA,NA,NA,NA,"mo_ep_mean_abs_jerk_sd","valence","1000"
"fixed",NA,"(Intercept)",-0.0234572879068541,0.0602951840111991,-0.389040821278482,169.479771622825,0.697734304100979,-0.142483607734141,0.0955690319204328,"mo_ep_sd_abs_jerk_sd","valence","1000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_within",-0.00545545177759508,0.00666367554917948,-0.818685084130008,10564.7411747523,0.412984574661203,-0.0185175123294044,0.00760660877421428,"mo_ep_sd_abs_jerk_sd","valence","1000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_between",-0.405766499676857,0.146029394128821,-2.77866317324379,168.912745475259,0.00607650148117983,-0.694044265865539,-0.117488733488174,"mo_ep_sd_abs_jerk_sd","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.76738800564911,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","valence","1000"
"ran_pars","Residual","sd__Observation",0.582844193940743,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","valence","1000"
"fixed",NA,"(Intercept)",-0.0210638624137799,0.0579724006452819,-0.363342938697057,169.219652277985,0.716802217050236,-0.135506133189554,0.0933784083619943,"mo_ep_mean_angle_mean","valence","1000"
"fixed",NA,"mo_ep_mean_angle_mean_within",0.00253026980898582,0.00677691030994041,0.373366282459783,10564.4280955156,0.708883342269324,-0.0107537522701054,0.0158142918880771,"mo_ep_mean_angle_mean","valence","1000"
"fixed",NA,"mo_ep_mean_angle_mean_between",-0.460687079911789,0.105919318078595,-4.34941508564046,168.664905243395,2.35636580278731e-05,-0.669785448988243,-0.251588710835335,"mo_ep_mean_angle_mean","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.743629233181734,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_mean","valence","1000"
"ran_pars","Residual","sd__Observation",0.582863306115206,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_mean","valence","1000"
"fixed",NA,"(Intercept)",-0.0345608586987211,0.0603840619172842,-0.572350676674642,169.533801817052,0.567842630252482,-0.153762355676581,0.0846406382791385,"mo_ep_sd_angle_mean","valence","1000"
"fixed",NA,"mo_ep_sd_angle_mean_within",-0.0048841053569833,0.00632584778742603,-0.772087081622719,10564.6646220314,0.440080123298377,-0.0172839598066293,0.00751574909266274,"mo_ep_sd_angle_mean","valence","1000"
"fixed",NA,"mo_ep_sd_angle_mean_between",-0.424369841224366,0.190822947999581,-2.22389312015711,169.207654615972,0.0274791353013758,-0.801070174386157,-0.0476695080625754,"mo_ep_sd_angle_mean","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.773455581598595,NA,NA,NA,NA,NA,NA,"mo_ep_sd_angle_mean","valence","1000"
