"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"between","mo_ep_sd_total_dist_between",0.078451179712847,0.95,-0.0730014307260694,0.229903790151763,"mo_ep_sd_total_dist","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","arousal","3000"
"within","mo_ep_sd_speed_mean_within",-0.00640066418703764,0.95,-0.0294106112656049,0.0166092828915297,"mo_ep_sd_speed_mean","arousal","3000"
"between","mo_ep_sd_speed_mean_between",-0.153219683122269,0.95,-0.3032019084858,-0.00323745775873887,"mo_ep_sd_speed_mean","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_speed_sd","arousal","3000"
"within","mo_ep_mean_speed_sd_within",-0.0261450913592152,0.95,-0.0517578165025988,-0.000532366215831576,"mo_ep_mean_speed_sd","arousal","3000"
"between","mo_ep_mean_speed_sd_between",-0.267715292972094,0.95,-0.413941022837926,-0.121489563106262,"mo_ep_mean_speed_sd","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.0132564622569038,0.95,-0.0364797469877734,0.00996682247396581,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.15343913622724,0.95,-0.303283080546143,-0.00359519190833699,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","arousal","3000"
"within","mo_ep_mean_angle_mean_within",-0.00846049562435341,0.95,-0.0335848097809969,0.0166638185322901,"mo_ep_mean_angle_mean","arousal","3000"
"between","mo_ep_mean_angle_mean_between",-0.254486779621009,0.95,-0.401142825086163,-0.107830734155855,"mo_ep_mean_angle_mean","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","arousal","3000"
"within","mo_ep_sd_angle_mean_within",0.0030690939612817,0.95,-0.0214149697164693,0.0275531576390327,"mo_ep_sd_angle_mean","arousal","3000"
"between","mo_ep_sd_angle_mean_between",-0.158003925728848,0.95,-0.307799426567113,-0.00820842489058344,"mo_ep_sd_angle_mean","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","arousal","3000"
"within","mo_ep_mean_angle_sd_within",-0.0234789811575036,0.95,-0.0514225010739365,0.00446453875892923,"mo_ep_mean_angle_sd","arousal","3000"
"between","mo_ep_mean_angle_sd_between",-0.231770026573127,0.95,-0.379241601273724,-0.0842984518725296,"mo_ep_mean_angle_sd","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","arousal","3000"
"within","mo_ep_mean_y_flips_within",-0.00387965528252898,0.95,-0.023782730059117,0.0160234194940591,"mo_ep_mean_y_flips","arousal","3000"
"between","mo_ep_mean_y_flips_between",0.000518176575900907,0.95,-0.151135523490328,0.15217187664213,"mo_ep_mean_y_flips","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","arousal","3000"
"within","movement_distance_within",-0.00520757870176392,0.95,-0.0303566192235278,0.0199414618199999,"movement_distance","arousal","3000"
"between","movement_distance_between",0.072789975302312,0.95,-0.0786064041000165,0.22418635470464,"movement_distance","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"no_movement","arousal","3000"
"within","no_movement_within",-0.00689737847111624,0.95,-0.0314315502323414,0.0176367932901089,"no_movement","arousal","3000"
"between","no_movement_between",-0.196585329633465,0.95,-0.345778789332363,-0.047391869934567,"no_movement","arousal","3000"
