"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","valence","2000"
"within","movement_distance_within",-0.0110429094825525,0.95,-0.0299615087076442,0.00787568974253912,"movement_distance","valence","2000"
"between","movement_distance_between",0.0922800071446513,0.95,-0.0585267420674271,0.24308675635673,"movement_distance","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_episodes.","valence","2000"
"within","lockscreen_episodes._within",-0.0231091533123654,0.95,-0.042023795198394,-0.00419451142633671,"lockscreen_episodes.","valence","2000"
"between","lockscreen_episodes._between",-0.136657911318611,0.95,-0.286999446510679,0.0136836238734572,"lockscreen_episodes.","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"lockscreen_time","valence","2000"
"within","lockscreen_time_within",-0.0285902371213935,0.95,-0.0475021507815561,-0.00967832346123092,"lockscreen_time","valence","2000"
"between","lockscreen_time_between",-0.140559282443516,0.95,-0.29060001345676,0.00948144856972743,"lockscreen_time","valence","2000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"recording_duration","arousal","3000"
"within","recording_duration_within",0.00141719186566552,0.95,-0.0175025562454326,0.0203369399767636,"recording_duration","arousal","3000"
"between","recording_duration_between",-0.0537443493422904,0.95,-0.206134539973701,0.0986458412891201,"recording_duration","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_episodes","arousal","3000"
"within","movement_episodes_within",0.00801250977322869,0.95,-0.0109066560248005,0.0269316755712579,"movement_episodes","arousal","3000"
"between","movement_episodes_between",0.0827321257680907,0.95,-0.0683234839931694,0.233787735529351,"movement_episodes","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_total_dist","arousal","3000"
"within","mo_ep_mean_total_dist_within",-0.00739578565642888,0.95,-0.0263150540379043,0.0115234827250466,"mo_ep_mean_total_dist","arousal","3000"
"between","mo_ep_mean_total_dist_between",-0.0141483608694826,0.95,-0.165838390477784,0.137541668738819,"mo_ep_mean_total_dist","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_total_dist","arousal","3000"
"within","mo_ep_sd_total_dist_within",-0.00783058759941744,0.95,-0.0267497625408831,0.0110885873420482,"mo_ep_sd_total_dist","arousal","3000"
"between","mo_ep_sd_total_dist_between",0.0776891638775315,0.95,-0.0738407335395584,0.229219061294621,"mo_ep_sd_total_dist","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_speed_mean","arousal","3000"
"within","mo_ep_sd_speed_mean_within",-0.00794776015866256,0.95,-0.0268669085152669,0.0109713881979418,"mo_ep_sd_speed_mean","arousal","3000"
"between","mo_ep_sd_speed_mean_between",-0.15180537547427,0.95,-0.30182638922567,-0.00178436172287103,"mo_ep_sd_speed_mean","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_speed_sd","arousal","3000"
"within","mo_ep_mean_speed_sd_within",-0.0261467242884141,0.95,-0.0450599418734122,-0.00723350670341593,"mo_ep_mean_speed_sd","arousal","3000"
