"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"fixed",NA,"(Intercept)",-0.0194745670267829,0.0588233732929137,-0.331068518117933,169.483035989722,0.741001698108128,-0.135595427887603,0.0966462938340375,"mo_ep_mean_speed_sd","valence","3000"
"fixed",NA,"mo_ep_mean_speed_sd_within",0.000401044484411736,0.00962180762742891,0.0416807838964144,111.313732177192,0.966827843503932,-0.0186646175198895,0.0194667064887129,"mo_ep_mean_speed_sd","valence","3000"
"fixed",NA,"mo_ep_mean_speed_sd_between",-0.380132744149225,0.0996395097505531,-3.81508043446706,168.926926990534,0.000190689618321593,-0.576831758532572,-0.183433729765878,"mo_ep_mean_speed_sd","valence","3000"
"ran_pars","ID","sd__(Intercept)",0.752176798596214,NA,NA,NA,NA,NA,NA,"mo_ep_mean_speed_sd","valence","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_mean_speed_sd_within",-0.0401579281368313,NA,NA,NA,NA,NA,NA,"mo_ep_mean_speed_sd","valence","3000"
"ran_pars","ID","sd__mo_ep_mean_speed_sd_within",0.0707381577471432,NA,NA,NA,NA,NA,NA,"mo_ep_mean_speed_sd","valence","3000"
"ran_pars","Residual","sd__Observation",0.580364806792949,NA,NA,NA,NA,NA,NA,"mo_ep_mean_speed_sd","valence","3000"
"fixed",NA,"(Intercept)",-0.0287416774288192,0.0610139955619361,-0.471066960360646,169.450346563442,0.638198793182314,-0.149187124894299,0.0917037700366611,"mo_ep_sd_abs_jerk_sd","valence","3000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_within",-0.00592988952015579,0.0080608754530867,-0.735638399906686,116.166332252448,0.463433514373882,-0.0218952281100148,0.0100354490697032,"mo_ep_sd_abs_jerk_sd","valence","3000"
"fixed",NA,"mo_ep_sd_abs_jerk_sd_between",-0.345148432520493,0.163871867027808,-2.10620919124528,169.078115873614,0.0366625752091476,-0.668646880697983,-0.0216499843430041,"mo_ep_sd_abs_jerk_sd","valence","3000"
"ran_pars","ID","sd__(Intercept)",0.774466132908213,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","valence","3000"
"ran_pars","ID","cor__(Intercept).mo_ep_sd_abs_jerk_sd_within",-0.0813894627603398,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","valence","3000"
"ran_pars","ID","sd__mo_ep_sd_abs_jerk_sd_within",0.0514316341708433,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","valence","3000"
"ran_pars","Residual","sd__Observation",0.581171341557293,NA,NA,NA,NA,NA,NA,"mo_ep_sd_abs_jerk_sd","valence","3000"
"fixed",NA,"(Intercept)",-0.0283629386514054,0.0589007688399987,-0.481537664278239,169.232888428952,0.630756501598603,-0.14463781884292,0.0879119415401093,"mo_ep_mean_angle_mean","valence","3000"
"fixed",NA,"mo_ep_mean_angle_mean_within",-0.00164207343778624,0.00942209693584498,-0.174278979399927,104.857524597376,0.861982257119192,-0.0203246470414316,0.0170405001658591,"mo_ep_mean_angle_mean","valence","3000"
