"Name","Model","log_BF","BF","df","df_diff","Chi2","p","iv","dv","dframe"
"..3","lmerModLmerTest",-8.88338321249648,0.000138674206715605,7,2,0.794271988204855,0.672242598387234,"trial_sd_y_flips","valence","cutoff_0"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"clicks","arousal","iqr_out_2.5"
"..2","lmerModLmerTest",-2.82693446117082,0.0591940374348362,5,2,12.5022617429895,0.00192827227460821,"clicks","arousal","iqr_out_2.5"
"..3","lmerModLmerTest",-8.68380523037922,0.000169305593501301,7,2,0.788520204576344,0.674178678016506,"clicks","arousal","iqr_out_2.5"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_angle_sd","arousal","iqr_out_2.5"
"..2","lmerModLmerTest",-2.75179752635995,0.0638130524078876,5,2,12.6525356126112,0.00178869709096703,"task_angle_sd","arousal","iqr_out_2.5"
"..3","lmerModLmerTest",-8.95189310660135,0.000129491786104427,7,2,0.252344452132093,0.881463022800985,"task_angle_sd","arousal","iqr_out_2.5"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_x_flips","arousal","iqr_out_2.5"
"..2","lmerModLmerTest",-2.04331173721221,0.129598802223123,5,2,14.0695071909067,0.000880735155338882,"task_x_flips","arousal","iqr_out_2.5"
"..3","lmerModLmerTest",-4.51981676610012,0.0108910190896359,7,2,9.11649713313454,0.0104803985988902,"task_x_flips","arousal","iqr_out_2.5"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"task_y_flips","arousal","iqr_out_2.5"
"..2","lmerModLmerTest",-3.39257786212875,0.03362189248517,5,2,11.3709749410737,0.00339487794323478,"task_y_flips","arousal","iqr_out_2.5"
"..3","lmerModLmerTest",-0.720659457974762,0.486431369120367,7,2,16.7148117493853,0.00023465226227888,"task_y_flips","arousal","iqr_out_2.5"
"..1","lmerModLmerTest",NA,NA,3,NA,NA,NA,"trial_mean_duration","arousal","iqr_out_2.5"
"..2","lmerModLmerTest",-1.61851882522024,0.198192038835738,5,2,14.9190930148907,0.000575917286477467,"trial_mean_duration","arousal","iqr_out_2.5"
"..3","lmerModLmerTest",-0.869173930133911,0.419297775481665,7,2,16.417782805067,0.000272222339067712,"trial_mean_duration","arousal","iqr_out_2.5"
