"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"within","trial_sd_speed_mean_within",0.000685385621292375,0.95,-0.0182414692314574,0.0196122404740422,"trial_sd_speed_mean","valence","cutoff_0"
"between","trial_sd_speed_mean_between",-0.114728881994689,0.95,-0.265678059639574,0.0362202956501951,"trial_sd_speed_mean","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_sd","valence","cutoff_0"
"within","trial_mean_speed_sd_within",-0.000375247348075867,0.95,-0.0193021333110086,0.0185516386148568,"trial_mean_speed_sd","valence","cutoff_0"
"between","trial_mean_speed_sd_between",-0.108115298169505,0.95,-0.259068323218803,0.0428377268797923,"trial_mean_speed_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_sd","valence","cutoff_0"
"within","trial_sd_speed_sd_within",-0.00946786772799608,0.95,-0.0283938807546463,0.00945814529865417,"trial_sd_speed_sd","valence","cutoff_0"
"between","trial_sd_speed_sd_between",-0.107475974222648,0.95,-0.258468789307832,0.0435168408625355,"trial_sd_speed_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_abs_jerk_sd","valence","cutoff_0"
"within","trial_sd_abs_jerk_sd_within",-0.0135172673526772,0.95,-0.0324423469704479,0.00540781226509343,"trial_sd_abs_jerk_sd","valence","cutoff_0"
"between","trial_sd_abs_jerk_sd_between",0.0231733897001041,0.95,-0.12842855083987,0.174775330240079,"trial_sd_abs_jerk_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_mean","valence","cutoff_0"
"within","trial_mean_angle_mean_within",0.00959425013075987,0.95,-0.00933173999965,0.0285202402611697,"trial_mean_angle_mean","valence","cutoff_0"
"between","trial_mean_angle_mean_between",-0.0719718377951138,0.95,-0.223393891548572,0.079450215958344,"trial_mean_angle_mean","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_mean","valence","cutoff_0"
"within","trial_sd_angle_mean_within",0.00353674863503524,0.95,-0.0153899923119967,0.0224634895820672,"trial_sd_angle_mean","valence","cutoff_0"
"between","trial_sd_angle_mean_between",-0.0476173272051128,0.95,-0.199268917401985,0.104034262991759,"trial_sd_angle_mean","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_sd","valence","cutoff_0"
"within","trial_mean_angle_sd_within",-0.00630483064083245,0.95,-0.0252313512046012,0.0126216899229363,"trial_mean_angle_sd","valence","cutoff_0"
"between","trial_mean_angle_sd_between",-0.0911350741383643,0.95,-0.242305757298821,0.0600356090220928,"trial_mean_angle_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_sd","valence","cutoff_0"
"within","trial_sd_angle_sd_within",0.00953355584164964,0.95,-0.00939243786024846,0.0284595495435477,"trial_sd_angle_sd","valence","cutoff_0"
"between","trial_sd_angle_sd_between",-0.175628407731675,0.95,-0.325037490686071,-0.0262193247772782,"trial_sd_angle_sd","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_x_flips","valence","cutoff_0"
"within","trial_sd_x_flips_within",-0.00814562464544416,0.95,-0.0270718473391992,0.0107805980483108,"trial_sd_x_flips","valence","cutoff_0"
"between","trial_sd_x_flips_between",-0.0233590368482928,0.95,-0.175183118505811,0.128465044809225,"trial_sd_x_flips","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_y_flips","valence","cutoff_0"
"within","trial_sd_y_flips_within",-0.00569964089719853,0.95,-0.0246261924895721,0.013226910695175,"trial_sd_y_flips","valence","cutoff_0"
"between","trial_sd_y_flips_between",-0.0957257739714694,0.95,-0.24671808686965,0.0552665389267112,"trial_sd_y_flips","valence","cutoff_0"
"rewb-contextual","(Intercept)",0,0.95,0,0,"clicks","arousal","iqr_out_2.5"
"within","clicks_within",0.00380414611147271,0.95,-0.017139558505823,0.0247478507287684,"clicks","arousal","iqr_out_2.5"
"between","clicks_between",-0.270796807268778,0.95,-0.41892194508333,-0.122671669454227,"clicks","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_angle_sd","arousal","iqr_out_2.5"
"within","task_angle_sd_within",-0.0309952873393872,0.95,-0.0519288957403326,-0.0100616789384418,"task_angle_sd","arousal","iqr_out_2.5"
"between","task_angle_sd_between",-0.159200092248329,0.95,-0.309922224058343,-0.00847796043831409,"task_angle_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_x_flips","arousal","iqr_out_2.5"
"within","task_x_flips_within",-0.0393895742100711,0.95,-0.0603168294165316,-0.0184623190036106,"task_x_flips","arousal","iqr_out_2.5"
"between","task_x_flips_between",-0.0532475913471319,0.95,-0.205837614233173,0.099342431538909,"task_x_flips","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_y_flips","arousal","iqr_out_2.5"
"within","task_y_flips_within",-0.0313044632582549,0.95,-0.0522377260581122,-0.0103712004583975,"task_y_flips","arousal","iqr_out_2.5"
"between","task_y_flips_between",-0.129581334648581,0.95,-0.281276729672979,0.0221140603758176,"task_y_flips","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_duration","arousal","iqr_out_2.5"
"within","trial_mean_duration_within",0.0325660190714777,0.95,0.0116335364407712,0.0534985017021843,"trial_mean_duration","arousal","iqr_out_2.5"
"between","trial_mean_duration_between",0.183114796622182,0.95,0.0330031515372813,0.333226441707083,"trial_mean_duration","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_duration","arousal","iqr_out_2.5"
"within","trial_sd_duration_within",0.00469874547849964,0.95,-0.0162448668888695,0.0256423578458687,"trial_sd_duration","arousal","iqr_out_2.5"
"between","trial_sd_duration_between",0.100489046897396,0.95,-0.0516145479886033,0.252592641783395,"trial_sd_duration","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_trial_move_offset","arousal","iqr_out_2.5"
"within","trial_mean_trial_move_offset_within",0.0447222225649897,0.95,0.0237998379661985,0.065644607163781,"trial_mean_trial_move_offset","arousal","iqr_out_2.5"
"between","trial_mean_trial_move_offset_between",0.127420617648797,0.95,-0.0239313595847465,0.27877259488234,"trial_mean_trial_move_offset","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_trial_move_offset","arousal","iqr_out_2.5"
"within","trial_sd_trial_move_offset_within",0.0103665674142722,0.95,-0.0105760931491601,0.0313092279777044,"trial_sd_trial_move_offset","arousal","iqr_out_2.5"
"between","trial_sd_trial_move_offset_between",0.119225067604815,0.95,-0.0326991977587374,0.271149332968368,"trial_sd_trial_move_offset","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_total_dist","arousal","iqr_out_2.5"
"within","trial_mean_total_dist_within",-0.0429570687127421,0.95,-0.0638811259055978,-0.0220330115198863,"trial_mean_total_dist","arousal","iqr_out_2.5"
"between","trial_mean_total_dist_between",-0.0410001646743842,0.95,-0.194279981332185,0.112279651983417,"trial_mean_total_dist","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_total_dist","arousal","iqr_out_2.5"
"within","trial_sd_total_dist_within",-0.00409896642239884,0.95,-0.0250425864877212,0.0168446536429236,"trial_sd_total_dist","arousal","iqr_out_2.5"
"between","trial_sd_total_dist_between",-0.0346036466884753,0.95,-0.187534670030341,0.11832737665339,"trial_sd_total_dist","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_distance_overshoot","arousal","iqr_out_2.5"
"within","trial_sd_distance_overshoot_within",-0.0437103955165346,0.95,-0.0646338647093495,-0.0227869263237197,"trial_sd_distance_overshoot","arousal","iqr_out_2.5"
"between","trial_sd_distance_overshoot_between",-0.129833258372802,0.95,-0.28138365584565,0.0217171391000455,"trial_sd_distance_overshoot","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_speed_mean","arousal","iqr_out_2.5"
"within","trial_mean_speed_mean_within",-0.056546298790261,0.95,-0.0774558425639565,-0.0356367550165656,"trial_mean_speed_mean","arousal","iqr_out_2.5"
"between","trial_mean_speed_mean_between",-0.118490214237185,0.95,-0.270768577887541,0.0337881494131711,"trial_mean_speed_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_mean","arousal","iqr_out_2.5"
"within","trial_sd_speed_mean_within",-0.0129642132580491,0.95,-0.0339061446074089,0.00797771809131076,"trial_sd_speed_mean","arousal","iqr_out_2.5"
"between","trial_sd_speed_mean_between",-0.136651373714947,0.95,-0.288411653378104,0.0151089059482106,"trial_sd_speed_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_speed_sd","arousal","iqr_out_2.5"
"within","trial_sd_speed_sd_within",-0.0075421875369466,0.95,-0.0284853537391264,0.0134009786652332,"trial_sd_speed_sd","arousal","iqr_out_2.5"
"between","trial_sd_speed_sd_between",-0.174129263325926,0.95,-0.324782575314529,-0.0234759513373223,"trial_sd_speed_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_abs_jerk_mean","arousal","iqr_out_2.5"
"within","trial_sd_abs_jerk_mean_within",-0.027174162275093,0.95,-0.0481100691172991,-0.00623825543288698,"trial_sd_abs_jerk_mean","arousal","iqr_out_2.5"
"between","trial_sd_abs_jerk_mean_between",-0.0907165302929259,0.95,-0.242548432849187,0.0611153722633356,"trial_sd_abs_jerk_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_abs_jerk_sd","arousal","iqr_out_2.5"
"within","trial_sd_abs_jerk_sd_within",-0.0212339792212084,0.95,-0.0421730265565631,-0.000294931885853776,"trial_sd_abs_jerk_sd","arousal","iqr_out_2.5"
"between","trial_sd_abs_jerk_sd_between",-0.0835245281186139,0.95,-0.235403508585197,0.0683544523479692,"trial_sd_abs_jerk_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_mean","arousal","iqr_out_2.5"
"within","trial_mean_angle_mean_within",-0.0425111566099699,0.95,-0.0634356647941758,-0.021586648425764,"trial_mean_angle_mean","arousal","iqr_out_2.5"
"between","trial_mean_angle_mean_between",-0.130845241434474,0.95,-0.282460242093971,0.0207697592250234,"trial_mean_angle_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_mean","arousal","iqr_out_2.5"
"within","trial_sd_angle_mean_within",0.00202928466016332,0.95,-0.0189144116902827,0.0229729810106093,"trial_sd_angle_mean","arousal","iqr_out_2.5"
"between","trial_sd_angle_mean_between",-0.131274454535672,0.95,-0.283189048346562,0.0206401392752188,"trial_sd_angle_mean","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_angle_sd","arousal","iqr_out_2.5"
"within","trial_mean_angle_sd_within",-0.0304896741030224,0.95,-0.0514235953253829,-0.0095557528806619,"trial_mean_angle_sd","arousal","iqr_out_2.5"
"between","trial_mean_angle_sd_between",-0.151779219356468,0.95,-0.302711409083338,-0.000847029629598476,"trial_mean_angle_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_angle_sd","arousal","iqr_out_2.5"
"within","trial_sd_angle_sd_within",2.25633450364946e-05,0.95,-0.0209212697325284,0.0209663964226013,"trial_sd_angle_sd","arousal","iqr_out_2.5"
"between","trial_sd_angle_sd_between",-0.180338211479563,0.95,-0.330466866757302,-0.0302095562018244,"trial_sd_angle_sd","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_x_flips","arousal","iqr_out_2.5"
"within","trial_sd_x_flips_within",-0.0237718171986519,0.95,-0.0447096000799383,-0.00283403431736552,"trial_sd_x_flips","arousal","iqr_out_2.5"
"between","trial_sd_x_flips_between",0.0145997821983888,0.95,-0.137990685763581,0.167190250160358,"trial_sd_x_flips","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_y_flips","arousal","iqr_out_2.5"
"within","trial_sd_y_flips_within",-0.00148090801968138,0.95,-0.0224246592810556,0.0194628432416928,"trial_sd_y_flips","arousal","iqr_out_2.5"
"between","trial_sd_y_flips_between",-0.110953246161436,0.95,-0.262669899163466,0.0407634068405945,"trial_sd_y_flips","arousal","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"clicks","valence","iqr_out_2.5"
"within","clicks_within",0.01565401937675,0.95,-0.00528749384255296,0.036595532596053,"clicks","valence","iqr_out_2.5"
"between","clicks_between",-0.247837342583722,0.95,-0.395897067594788,-0.0997776175726559,"clicks","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_angle_sd","valence","iqr_out_2.5"
"within","task_angle_sd_within",0.00434657530427466,0.95,-0.0165971320391807,0.02529028264773,"task_angle_sd","valence","iqr_out_2.5"
"between","task_angle_sd_between",-0.112175235418744,0.95,-0.263283443038793,0.0389329722013051,"task_angle_sd","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_x_flips","valence","iqr_out_2.5"
"within","task_x_flips_within",-0.000701404682590934,0.95,-0.0216452563271975,0.0202424469620156,"task_x_flips","valence","iqr_out_2.5"
"between","task_x_flips_between",-0.0405502574073235,0.95,-0.192613318858822,0.111512804044175,"task_x_flips","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"task_y_flips","valence","iqr_out_2.5"
"within","task_y_flips_within",0.0123188574846265,0.95,-0.00862338712588183,0.0332611020951348,"task_y_flips","valence","iqr_out_2.5"
"between","task_y_flips_between",-0.10058928785915,0.95,-0.252097584942249,0.0509190092239499,"task_y_flips","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_duration","valence","iqr_out_2.5"
"within","trial_mean_duration_within",0.009721341350894,0.95,-0.0112215373780581,0.0306642200798461,"trial_mean_duration","valence","iqr_out_2.5"
"between","trial_mean_duration_between",0.138284744354896,0.95,-0.0123284056752291,0.288897894385021,"trial_mean_duration","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_sd_duration","valence","iqr_out_2.5"
"within","trial_sd_duration_within",0.015345124013176,0.95,-0.00559619934416187,0.0362864473705138,"trial_sd_duration","valence","iqr_out_2.5"
"between","trial_sd_duration_between",0.0300088789962093,0.95,-0.12216359737193,0.182181355364348,"trial_sd_duration","valence","iqr_out_2.5"
"rewb-contextual","(Intercept)",0,0.95,0,0,"trial_mean_trial_move_offset","valence","iqr_out_2.5"
"within","trial_mean_trial_move_offset_within",-0.00421526894432008,0.95,-0.0251589074268435,0.0167283695382034,"trial_mean_trial_move_offset","valence","iqr_out_2.5"
"between","trial_mean_trial_move_offset_between",0.083579512742266,0.95,-0.0679108815554636,0.235069907039996,"trial_mean_trial_move_offset","valence","iqr_out_2.5"
