"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
88423.9763087357,88489.5009815951,0.628443557360374,0.0183969488445077,0.621479943239531,14.2802621273507,14.3923562832726,"valence","trial_sd_speed_sd","by_sample_cutoffNA",NA,NA,NA
88419.6662065994,88485.1908794588,0.629387038339793,0.0179170241812342,0.622625612310176,14.2768455149511,14.3889211397339,"valence","trial_sd_abs_jerk_sd","by_sample_cutoffNA",NA,NA,NA
88426.7689378437,88492.2936107031,0.628856879168214,0.0175817402922864,0.622214757142027,14.2817695473328,14.3938808719523,"valence","trial_mean_angle_mean","by_sample_cutoffNA",NA,NA,NA
88428.243577389,88493.7682502484,0.628773296147276,0.0177573705507315,0.622062113043427,14.2828243235628,14.3949427862856,"valence","trial_sd_angle_mean","by_sample_cutoffNA",NA,NA,NA
88428.2439645558,88493.7686374152,0.628801305542372,0.0178324138624691,0.622061754331149,14.2828247098299,14.394943216464,"valence","trial_mean_angle_sd","by_sample_cutoffNA",NA,NA,NA
88427.9305150331,88493.4551878925,0.62888167928528,0.0177186938936834,0.622187332276736,14.2825559527236,14.3946732460296,"valence","trial_sd_angle_sd","by_sample_cutoffNA",NA,NA,NA
88427.6759233425,88493.2005962019,0.628851552297655,0.0178689559408844,0.622098853358305,14.2824288381968,14.3945444608139,"valence","trial_sd_x_flips","by_sample_cutoffNA",NA,NA,NA
88427.3153399158,88492.8400127752,0.628852820454007,0.0178788773954672,0.622096327017455,14.2821899570111,14.3943037297819,"valence","trial_sd_y_flips","by_sample_cutoffNA",NA,NA,NA
3757.50849808848,3815.75265174126,0.492315049109227,0.0463101311251346,0.467662426266807,0.207717058349709,1,"stress","clicks","by_sample_cutoffNA",0.156567039475735,-30.1502073595009,0.00459777361951869
3757.62868688829,3815.87284054107,0.492867361439991,0.0462672260014661,0.468265480241546,0.207658818343245,1,"stress","task_total_dist","by_sample_cutoffNA",0.156557977787756,-30.1491950102214,0.00458327393888077
3757.91457918264,3816.15873283542,0.492936609314447,0.0458229225878893,0.46858565072555,0.207664951922465,1,"stress","task_angle_sd","by_sample_cutoffNA",0.156563527746563,-30.1498235143694,0.0046018775845672
3755.11434021292,3813.3584938657,0.492950612125806,0.0470538115305339,0.46791393469072,0.207618341704866,1,"stress","task_x_flips","by_sample_cutoffNA",0.156451436067347,-30.1595998768317,0.00456262594252327
3757.88889392982,3816.1330475826,0.492736664285797,0.0459841032206074,0.46828628597632,0.207667138581594,1,"stress","task_y_flips","by_sample_cutoffNA",0.156569220164412,-30.148712313754,0.00459866814431641
3757.73043026242,3815.9745839152,0.492983175046562,0.0459981248472176,0.468536867527394,0.207674081146085,1,"stress","trial_sd_duration","by_sample_cutoffNA",0.15655690954405,-30.150529050226,0.00459826556412845
3757.94446369273,3816.18861734551,0.491953644366128,0.0460713201281938,0.467416834870563,0.207681493212476,1,"stress","trial_mean_trial_move_offset","by_sample_cutoffNA",0.156591357650506,-30.1472389249748,0.00460364381300508
3757.29274032435,3815.53689397713,0.49231566161294,0.0461118389699308,0.467773729533628,0.207656098893208,1,"stress","trial_sd_trial_move_offset","by_sample_cutoffNA",0.156553548590448,-30.150159862319,0.00459197443967333
3757.68948579287,3815.93363944565,0.493087775174403,0.046178598572818,0.468545973001743,0.207632641371968,1,"stress","trial_sd_total_dist","by_sample_cutoffNA",0.156555847022597,-30.1497943982085,0.00459418007712602
3757.65455184189,3815.89870549467,0.49290464112966,0.0460259563079688,0.468439039590846,0.207653372537805,1,"stress","trial_sd_distance_overshoot","by_sample_cutoffNA",0.156555388746238,-30.1499107340245,0.00459028010688225
3757.81821794467,3816.06237159745,0.493874908347434,0.045912736025581,0.469519077799852,0.207672857963648,1,"stress","trial_mean_speed_mean","by_sample_cutoffNA",0.156536131506174,-30.1519863911694,0.00458388213311581
3757.96670248059,3816.21085613337,0.492298240326309,0.0459766417289661,0.467830891904163,0.207679903380164,1,"stress","trial_sd_speed_mean","by_sample_cutoffNA",0.156582574920645,-30.1480601279785,0.00459860041498171
3756.80713887588,3815.05129252866,0.492031821309077,0.0469107928572092,0.467029765016719,0.207671842034875,1,"stress","trial_mean_speed_sd","by_sample_cutoffNA",0.156545951643724,-Inf,0.00459067276386613
