"AIC","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","dv","iv","dframe","Log_loss","Score_log","Score_spherical"
3759.75003198343,3832.55522404941,0.493690623365293,0.0434967129964618,0.470666349489676,0.207221891662331,1,"stress","task_angle_sd","by_sample_cutoffNA",0.15583842275577,-Inf,0.0045290033719531
3751.66213598893,3824.4673280549,0.496376181848982,0.0467143709578843,0.471696831665163,0.206473656996477,1,"stress","task_x_flips","by_sample_cutoffNA",0.154279918681633,-Inf,0.0045848807567685
3759.94709787309,3832.75228993906,0.496180376652546,0.0463289213599937,0.471705041044201,0.207219807780286,1,"stress","task_y_flips","by_sample_cutoffNA",0.155737620712291,-Inf,0.00456153327373409
3759.64882255428,3832.45401462025,0.515112749797555,0.066311049828701,0.480675818093932,0.207112702703489,1,"stress","trial_sd_duration","by_sample_cutoffNA",0.155553619361581,-Inf,0.00383697717816062
3758.37552186095,3831.18071392692,0.508511056301316,0.0449207590721385,0.485394590692599,0.206747197738151,1,"stress","trial_mean_trial_move_offset","by_sample_cutoffNA",0.154778725077041,-Inf,0.00422941066434371
3760.57024666774,3833.37543873371,0.497131289824009,0.0489930462984617,0.471224991343428,0.207321753454168,1,"stress","trial_sd_trial_move_offset","by_sample_cutoffNA",0.15578950449306,-30.1500141144006,0.00435012340864838
3755.47079377475,3828.27598584072,0.505865301353161,0.0469473356152257,0.481524246127764,0.206481818493366,1,"stress","trial_sd_total_dist","by_sample_cutoffNA",0.154379308330147,-Inf,0.0045540907017096
3755.24351328012,3828.0487053461,0.503200007171972,0.0463919560643057,0.479031247704608,0.20627049066934,1,"stress","trial_sd_distance_overshoot","by_sample_cutoffNA",0.154390334569969,-Inf,0.00448990704358188
3760.18378109257,3832.98897315855,0.498745575761302,0.0420068252799603,0.476766184283951,0.207086671033923,1,"stress","trial_mean_speed_mean","by_sample_cutoffNA",0.15524837257909,-Inf,0.00458502067332429
3760.9695096618,3833.77470172778,0.493352117407514,0.0422784741991973,0.470986222045234,0.207401823993192,1,"stress","trial_sd_speed_mean","by_sample_cutoffNA",0.155939006508929,-Inf,0.00462689385699033
3756.57409468472,3829.37928675069,0.500592712247542,0.0395506838150557,0.480027442014137,0.206765015925797,1,"stress","trial_mean_speed_sd","by_sample_cutoffNA",0.154737985422402,-Inf,0.00464718247849255
3756.45874277501,3829.26393484098,0.496140666361006,0.0456114354455804,0.472060592140232,0.206942383198935,1,"stress","trial_sd_speed_sd","by_sample_cutoffNA",0.155295173858016,-30.1504022405084,0.00458423797845097
3755.56055636219,3828.36574842817,NA,0.0873934419247687,NA,0.207522661091349,1,"stress","trial_sd_abs_jerk_sd","by_sample_cutoffNA",0.156180502903765,-30.1872251402677,0.00462186737197804
3755.65804984517,3828.46324191114,0.497334564821184,0.0445586340224482,0.473891906841904,0.206582708072117,1,"stress","trial_mean_angle_mean","by_sample_cutoffNA",0.154666656663766,-Inf,0.00460340668241828
3759.46352552575,3832.26871759172,NA,0.0847758991138772,NA,0.207696185849981,1,"stress","trial_sd_angle_mean","by_sample_cutoffNA",0.156434349246059,-30.1524691019392,0.00449725731035046
3759.89112756359,3832.69631962956,0.497500217242859,0.0469642001890145,0.472737768238296,0.207267006369662,1,"stress","trial_mean_angle_sd","by_sample_cutoffNA",0.15577056509706,-Inf,0.00453462391800402
3758.62259488161,3831.42778694759,0.503798158736335,0.0534598818590693,0.475773047804631,0.207210424634161,1,"stress","trial_sd_angle_sd","by_sample_cutoffNA",0.155474089295409,-Inf,0.00442403995155731
3758.98003492712,3831.7852269931,0.495742137019582,0.0436664574034915,0.472717581764073,0.206993309631919,1,"stress","trial_sd_x_flips","by_sample_cutoffNA",0.1554023437768,-Inf,0.00463528709815886
3760.2700458764,3833.07523794237,0.494853470932516,0.044547791336415,0.471301102779337,0.207328243004112,1,"stress","trial_sd_y_flips","by_sample_cutoffNA",0.15594023537913,-30.1494366306595,0.00462017788142934
74434.3978795883,74512.2565982476,0.535181639514208,0.016328977232738,0.527465636653436,16.1333043365542,16.2891401669384,"arousal","clicks","by_sample_iqr_out2.5",NA,NA,NA
74427.9042981198,74505.7630167791,NA,0.0350648862202552,NA,16.1323950564503,16.2858059182108,"arousal","task_angle_sd","by_sample_iqr_out2.5",NA,NA,NA
74413.399836886,74491.2585555454,0.540294474526656,0.018204945254607,0.531770379926635,16.0414499476349,16.2292127481057,"arousal","task_x_flips","by_sample_iqr_out2.5",NA,NA,NA
74416.9756983495,74494.8344170088,0.538783302698798,0.0167964370192569,0.530904164034,16.0220122992562,16.2192310506803,"arousal","task_y_flips","by_sample_iqr_out2.5",NA,NA,NA
74409.9937349176,74487.8524535769,0.539951947295628,0.016180337795454,0.532385791443226,16.0109125874245,16.2092456040686,"arousal","trial_mean_duration","by_sample_iqr_out2.5",NA,NA,NA
74431.7339255216,74509.592644181,0.536302047228166,0.0163643462895878,0.528587692991099,16.0832949240548,16.2610911752069,"arousal","trial_sd_duration","by_sample_iqr_out2.5",NA,NA,NA
74391.9176788708,74469.7763975301,0.543591921017661,0.0211884172226122,0.533712016681212,16.0166725381587,16.205637634336,"arousal","trial_mean_trial_move_offset","by_sample_iqr_out2.5",NA,NA,NA
74431.8559740693,74509.7146927286,0.536173845235933,0.0160684959151347,0.528599142482523,16.1031410045522,16.2720419097199,"arousal","trial_sd_trial_move_offset","by_sample_iqr_out2.5",NA,NA,NA
74390.0725819125,74467.9313005719,0.543030929992689,0.0210398233255745,0.533209745508079,16.0016778672232,16.1960258250131,"arousal","trial_mean_total_dist","by_sample_iqr_out2.5",NA,NA,NA
74433.0133803022,74510.8720989616,0.535131686946982,0.0159290566825276,0.527606910650297,16.1077090584267,16.2752794999502,"arousal","trial_sd_total_dist","by_sample_iqr_out2.5",NA,NA,NA
74408.2121315295,74486.0708501888,0.53976760689374,0.0186864577382223,0.531003727875298,16.0607072410049,16.2381117958113,"arousal","trial_sd_distance_overshoot","by_sample_iqr_out2.5",NA,NA,NA
74378.6992179132,74456.5579365726,0.54274193701693,0.0206804175886957,0.533085959685194,15.9690309473703,16.1716640550808,"arousal","trial_mean_speed_mean","by_sample_iqr_out2.5",NA,NA,NA
74419.6933205106,74497.55203917,0.537251447964822,0.0156624256478457,0.529888359346906,16.0368091744959,16.2293388352701,"arousal","trial_sd_speed_mean","by_sample_iqr_out2.5",NA,NA,NA
74429.9970219524,74507.8557406117,0.536251560366799,0.0170707600854472,0.52819753365612,16.085850666647,16.2621715817739,"arousal","trial_sd_speed_sd","by_sample_iqr_out2.5",NA,NA,NA
74427.4789622324,74505.3376808917,NA,0.0334508678273468,NA,16.1320758481282,16.2854783266984,"arousal","trial_sd_abs_jerk_mean","by_sample_iqr_out2.5",NA,NA,NA
74430.0939267055,74507.9526453649,NA,0.0355889647611491,NA,16.1340049615109,16.2874331793389,"arousal","trial_sd_abs_jerk_sd","by_sample_iqr_out2.5",NA,NA,NA
